>  Running time: 2022-04-27_17:52:25
>  A(9.99 39.94) B(14.55 39.93) 0
9.99 39.94 0 -1474.61481612
10.0017265109 39.9402034801 1 -1502.66954461
10.0134530914 39.9404057788 2 -1530.16755944
10.025179741 39.9406068962 3 -1571.29787955
10.0369064594 39.9408068322 4 -1600.81133689
10.0486332461 39.9410055868 5 -1621.18751002
10.0603601007 39.94120316 6 -1641.57839725
10.0720870228 39.9413995518 7 -1664.53411062
10.083814012 39.9415947621 8 -1683.46678096
10.095541068 39.941788791 9 -1693.99039917
10.1072681902 39.9419816384 10 -1702.30084006
10.1189953784 39.9421733043 11 -1713.18512479
10.130722632 39.9423637887 12 -1628.14107773
10.1424499508 39.9425530916 13 -1516.4690508
10.1541773342 39.942741213 14 -1564.60918466
10.1659047819 39.9429281528 15 -1523.58490057
10.1776322935 39.9431139111 16 -1433.61331761
10.1893598686 39.9432984878 17 -1550.9568545
10.2010875068 39.9434818829 18 -1782.10223228
10.2128152076 39.9436640964 19 -1857.65878707
10.2245429707 39.9438451283 20 -1868.80726784
10.2362707956 39.9440249786 21 -2098.82246964
10.247998682 39.9442036472 22 -2323.0550516
10.2597266295 39.9443811342 23 -2380.75885185
10.2714546376 39.9445574395 24 -2360.14607211
10.2831827059 39.9447325631 25 -2286.13899577
10.2949108341 39.9449065051 26 -2237.83430204
10.3066390217 39.9450792653 27 -2190.82777085
10.3183672684 39.9452508438 28 -2077.09394621
10.3300955736 39.9454212406 29 -2035.62355449
10.3418239371 39.9455904556 30 -2184.71939223
10.3535523584 39.9457584889 31 -2270.87734701
10.3652808371 39.9459253404 32 -2300.90666698
10.3770093728 39.9460910101 33 -2318.88220302
10.3887379651 39.946255498 34 -2304.05100456
10.4004666137 39.9464188041 35 -2326.43952871
10.412195318 39.9465809283 36 -2353.03454007
10.4239240777 39.9467418708 37 -2361.7301374
10.4356528923 39.9469016313 38 -2362.8951433
10.4473817616 39.9470602101 39 -2370.46712359
10.459110685 39.9472176069 40 -2371.83721341
10.4708396622 39.9473738219 41 -2364.76401405
10.4825686928 39.9475288549 42 -2368.55721439
10.4942977763 39.9476827061 43 -2372.46418898
10.5060269124 39.9478353753 44 -2369.8842765
10.5177561006 39.9479868626 45 -2380.69597832
10.5294853406 39.948137168 46 -2398.04990326
10.5412146319 39.9482862914 47 -2468.90477131
10.5529439741 39.9484342328 48 -2476.8584801
10.5646733669 39.9485809923 49 -2495.53558924
10.5764028098 39.9487265698 50 -2524.39862115
10.5881323024 39.9488709652 51 -2532.59492746
10.5998618443 39.9490141787 52 -2531.85171637
10.6115914352 39.9491562101 53 -2533.23178851
10.6233210745 39.9492970595 54 -2537.86714366
10.635050762 39.9494367269 55 -2546.97497024
10.6467804972 39.9495752122 56 -2553.70943611
10.6585102796 39.9497125154 57 -2563.11237117
10.6702401089 39.9498486366 58 -2576.0402817
