>  Running time: 2022-04-27_18:04:38
>  A(17.24 41.00) B(19.35 43.50) 0
17.24 41 0 -36.8968229675
17.246189635 41.0076849551 1 -46.5830300795
17.2523807139 41.0153695791 2 -55.0810464227
17.2585732374 41.0230538718 3 -63.1636406645
17.2647672061 41.0307378329 4 -73.7913116833
17.2709626207 41.0384214624 5 -85.4796299195
17.2771594818 41.04610476 6 -92.046545832
17.2833577902 41.0537877257 7 -100.420989478
17.2895575465 41.0614703591 8 -101.799576714
17.2957587513 41.0691526603 9 -98.9136262991
17.3019614054 41.0768346289 10 -97.990059905
17.3081655094 41.0845162648 11 -116.344332637
17.3143710639 41.0921975679 12 -123.176356711
17.3205780697 41.099878538 13 -123.819064252
17.3267865273 41.1075591749 14 -125.931281748
17.3329964376 41.1152394785 15 -124.742788044
17.3392078011 41.1229194486 16 -119.881767519
17.3454206185 41.1305990849 17 -140.674166434
17.3516348905 41.1382783875 18 -172.138961647
17.3578506178 41.145957356 19 -194.514301604
17.364067801 41.1536359903 20 -208.62117701
17.3702864408 41.1613142902 21 -248.917084373
17.3765065378 41.1689922557 22 -280.568650523
17.3827280929 41.1766698864 23 -312.438759647
17.3889511065 41.1843471823 24 -356.983839855
17.3951755794 41.1920241431 25 -385.116824924
17.4014015123 41.1997007688 26 -420.43155276
17.4076289058 41.207377059 27 -451.959238963
17.4138577606 41.2150530137 28 -538.322298152
17.4200880775 41.2227286328 29 -670.560212621
17.4263198569 41.2304039159 30 -722.830474436
17.4325530998 41.238078863 31 -802.171628772
17.4387878066 41.2457534739 32 -832.06677125
17.4450239781 41.2534277483 33 -859.090384926
17.4512616149 41.2611016863 34 -879.209181972
17.4575007178 41.2687752875 35 -892.33672932
17.4637412875 41.2764485518 36 -903.366118825
17.4699833245 41.284121479 37 -917.311865131
17.4762268295 41.291794069 38 -930.844539303
17.4824718034 41.2994663215 39 -942.013115206
17.4887182466 41.3071382365 40 -955.342161491
17.49496616 41.3148098138 41 -975.864139044
17.5012155441 41.3224810531 42 -1013.59092206
17.5074663997 41.3301519543 43 -1039.67585345
17.5137187274 41.3378225173 44 -1052.20328358
17.5199725279 41.3454927418 45 -1067.00058505
17.5262278019 41.3531626278 46 -1080.57491376
17.5324845501 41.3608321749 47 -1091.31186938
17.5387427732 41.3685013831 48 -1101.06213752
17.5450024718 41.3761702522 49 -1107.88520136
